Sample,dVm/dt
1161,-0.407403
1162,-0.402597
1163,-0.405448
1164,-0.412003
1165,-0.404263
1166,-0.403398
1167,-0.397711
1168,-0.402123
1169,-0.400087
1170,-0.404950
1171,-0.403936
1172,-0.398288
1173,-0.399252
1174,-0.401983
1175,-0.400249
1176,-0.394453
1177,-0.402656
1178,-0.409463
1179,-0.399154
1180,-0.401404
1181,-0.403276
1182,-0.409398
1183,-0.400659
1184,-0.389607
1185,-0.402848
1186,-0.401132
1187,-0.397049
1188,-0.405183
1189,-0.399660
1190,-0.404666
1191,-0.411136
1192,-0.403226
1193,-0.401228
1194,-0.394587
1195,-0.398355
1196,-0.401831
1197,-0.400915
1198,-0.400001
1199,-0.394435
1200,-0.397919
1201,-0.401380
1202,-0.395804
1203,-0.397090
1204,-0.401859
1205,-0.407811
1206,-0.402400
1207,-0.406773
1208,-0.403515
1209,-0.405368
1210,-0.398140
1211,-0.404403
1212,-0.395726
1213,-0.401114
1214,-0.405504
1215,-0.404713
1216,-0.394375
1217,-0.399333
1218,-0.397372
1219,-0.403088
1220,-0.400276
1221,-0.399262
1222,-0.401925
1223,-0.398886
1224,-0.401243
1225,-0.399897
1226,-0.397134
1227,-0.399047
1228,-0.397026
1229,-0.399718
1230,-0.405539
1231,-0.406752
1232,-0.403035
1233,-0.398104
1234,-0.395754
1235,-0.399010
1236,-0.405168
1237,-0.399949
1238,-0.395119
1239,-0.397234
1240,-0.396514
1241,-0.394308
1242,-0.402872
1243,-0.404195
1244,-0.402842
1245,-0.395851
1246,-0.401034
1247,-0.400204
1248,-0.400410
1249,-0.399995
1250,-0.409960
1251,-0.400939
1252,-0.400236
1253,-0.399532
1254,-0.393736
1255,-0.394076
1256,-0.404488
1257,-0.409502
1258,-0.397189
1259,-0.395585
1260,-0.398914
1261,-0.401692
1262,-0.400476
1263,-0.402065
1264,-0.405179
1265,-0.398297
1266,-0.397965
1267,-0.401732
1268,-0.395986
1269,-0.403088
1270,-0.405230
1271,-0.401786
1272,-0.400235
1273,-0.393743
1274,-0.392346
1275,-0.401713
1276,-0.396927
1277,-0.399020
1278,-0.400701
1279,-0.411959
1280,-0.403255
1281,-0.406787
1282,-0.404278
1283,-0.405239
1284,-0.413981
1285,-0.402908
1286,-0.393406
1287,-0.394085
1288,-0.395870
1289,-0.402270
1290,-0.398473
1291,-0.398457
1292,-0.404077
1293,-0.405013
1294,-0.397496
1295,-0.404321
1296,-0.405950
1297,-0.388911
1298,-0.388649
1299,-0.403225
1300,-0.399546
1301,-0.403271
1302,-0.403603
1303,-0.401091
1304,-0.400142
1305,-0.397071
1306,-0.397055
1307,-0.402566
1308,-0.397886
1309,-0.406042
1310,-0.398895
1311,-0.396057
1312,-0.399238
1313,-0.411965
1314,-0.412428
1315,-0.409467
1316,-0.411423
1317,-0.404230
1318,-0.406181
1319,-0.398325
