V,CaMKt,cass,nai,nass,ki,kss,cansr,cajsr,cai,m,hf,hs,j,hsp,jp,mL,hL,hLp,a,iF,iS,ap,iFp,iSp,d,ff,fs,fcaf,fcas,jca,ffp,fcafp,nca,IC1,IC2,C1,C2,O,IO,IObound,Obound,Cbound,D,xs1,xs2,xk1,Jrelnp,Jrelp
-87.936744,0.010776,0.000084,7.282810,7.282894,144.651104,144.651077,1.581154,1.541545,0.000085,0.007392,0.695846,0.695837,0.695787,0.452327,0.695753,0.000191,0.501068,0.273695,0.001006,0.999549,0.595713,0.000512,0.999549,0.652395,0.000000,1.000000,0.922585,1.000000,0.999845,0.999978,1.000000,1.000000,0.002599,0.999632,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.247250,0.000194,0.996777,0.000000,0.000000
-87.935930,0.011052,0.000084,7.282936,7.283020,144.649712,144.649685,1.588650,1.547912,0.000085,0.007393,0.695818,0.695809,0.695757,0.452293,0.695722,0.000191,0.500816,0.273046,0.001006,0.999549,0.594029,0.000512,0.999549,0.650033,0.000000,1.000000,0.920271,1.000000,0.999836,0.999977,1.000000,1.000000,0.002631,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.251804,0.000194,0.996777,0.000000,0.000000
-87.936570,0.010985,0.000084,7.289691,7.289775,144.645993,144.645966,1.581861,1.540494,0.000085,0.007393,0.695840,0.695831,0.695779,0.452319,0.695744,0.000191,0.500736,0.272779,0.001006,0.999549,0.593235,0.000512,0.999549,0.648915,0.000000,1.000000,0.919083,1.000000,0.999831,0.999976,1.000000,1.000000,0.002610,0.999632,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253792,0.000194,0.996777,0.000000,0.000000
-87.935872,0.011067,0.000084,7.282938,7.283023,144.649635,144.649608,1.589071,1.548282,0.000085,0.007393,0.695816,0.695807,0.695755,0.452291,0.695720,0.000191,0.500802,0.273012,0.001006,0.999549,0.593941,0.000512,0.999549,0.649908,0.000000,1.000000,0.920141,1.000000,0.999835,0.999977,1.000000,1.000000,0.002633,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252049,0.000194,0.996777,0.000000,0.000000
-87.935849,0.011075,0.000084,7.282942,7.283026,144.649594,144.649567,1.589289,1.548466,0.000085,0.007393,0.695815,0.695806,0.695754,0.452290,0.695719,0.000191,0.500795,0.272993,0.001006,0.999549,0.593893,0.000512,0.999549,0.649842,0.000000,1.000000,0.920074,1.000000,0.999835,0.999977,1.000000,1.000000,0.002634,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252179,0.000194,0.996777,0.000000,0.000000
-87.935560,0.011175,0.000084,7.282984,7.283068,144.649095,144.649068,1.592008,1.550768,0.000085,0.007393,0.695805,0.695796,0.695743,0.452278,0.695708,0.000191,0.500703,0.272760,0.001006,0.999549,0.593293,0.000512,0.999549,0.649012,0.000000,1.000000,0.919245,1.000000,0.999832,0.999976,1.000000,1.000000,0.002645,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253797,0.000194,0.996777,0.000000,0.000000
-87.935590,0.011165,0.000084,7.282976,7.283060,144.649151,144.649124,1.591728,1.550532,0.000085,0.007393,0.695806,0.695797,0.695744,0.452279,0.695709,0.000191,0.500714,0.272786,0.001006,0.999549,0.593360,0.000512,0.999549,0.649104,0.000000,1.000000,0.919335,1.000000,0.999832,0.999976,1.000000,1.000000,0.002644,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253620,0.000194,0.996777,0.000000,0.000000
-87.936873,0.010841,0.000084,7.287356,7.287440,144.648177,144.648150,1.578999,1.538386,0.000085,0.007392,0.695851,0.695841,0.695790,0.452332,0.695756,0.000191,0.500890,0.273185,0.001005,0.999549,0.594303,0.000512,0.999549,0.650397,0.000000,1.000000,0.920580,1.000000,0.999837,0.999977,1.000000,1.000000,0.002597,0.999632,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.250875,0.000194,0.996777,0.000000,0.000000
-87.935838,0.011080,0.000084,7.282885,7.282969,144.649626,144.649598,1.589450,1.548605,0.000085,0.007393,0.695815,0.695805,0.695754,0.452289,0.695719,0.000191,0.500801,0.273012,0.001006,0.999549,0.593946,0.000512,0.999549,0.649902,0.000000,1.000000,0.920104,1.000000,0.999835,0.999977,1.000000,1.000000,0.002634,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.252115,0.000194,0.996777,0.000000,0.000000
-87.935633,0.011152,0.000084,7.282915,7.283000,144.649271,144.649244,1.591378,1.550237,0.000085,0.007393,0.695807,0.695798,0.695746,0.452281,0.695711,0.000191,0.500736,0.272847,0.001006,0.999549,0.593519,0.000512,0.999549,0.649311,0.000000,1.000000,0.919516,1.000000,0.999833,0.999976,1.000000,1.000000,0.002643,0.999631,0.000069,0.000000,0.000084,0.000158,0.000058,0.000000,0.000000,0.000000,162.000000,0.253264,0.000194,0.996777,0.000000,0.000000
